# data from: K:\Rainshelter\Barley_2014_15 spresdsheet ...
Date	Plot	SunScan
26/01/2015	204	0.000210836
26/01/2015	205	0.016985293
26/01/2015	206	0.741124334
26/01/2015	207	0.434740921
26/01/2015	208	0.770485873
26/01/2015	209	0.002987426
26/01/2015	210	-0.001690362
26/01/2015	211	0.844627125
26/01/2015	212	0.004140675
26/01/2015	213	0.685225338
26/01/2015	214	0.405304794
26/01/2015	215	0.885371453
26/01/2015	216	-0.002421728
26/01/2015	217	-0.008060782
26/01/2015	218	0.367606641
26/01/2015	219	0.001706016
26/01/2015	220	-0.011900033
26/01/2015	221	0.930028613
26/01/2015	222	0.918940808
26/01/2015	223	0.535592421
26/01/2015	224	0.453391377
29/01/2015	201	0.069277352
29/01/2015	202	0.177168431
29/01/2015	203	0.093814193
29/01/2015	206	0.502182867
29/01/2015	207	0.042248451
29/01/2015	208	0.402176504
29/01/2015	211	0.610115723
29/01/2015	212	-0.00318474
29/01/2015	213	0.29155691
29/01/2015	214	0.158047494
29/01/2015	215	0.630856658
29/01/2015	218	0.150059298
29/01/2015	221	0.83668925
29/01/2015	222	0.744615724
29/01/2015	223	0.322224874
29/01/2015	224	0.102325636
4/02/2015	201	-0.01009178
4/02/2015	202	0.006309965
4/02/2015	203	-0.009918198
4/02/2015	206	-0.003910639
4/02/2015	207	-0.003283387
4/02/2015	208	0.009937511
4/02/2015	211	0.014924933
4/02/2015	212	-0.005239401
4/02/2015	213	-0.013086524
4/02/2015	214	0.011493732
4/02/2015	215	-0.002060881
4/02/2015	218	-0.012122741
4/02/2015	221	0.007509637
4/02/2015	222	-0.007258293
4/02/2015	223	-0.001486042
4/02/2015	224	0.001269869
10/02/2015	201	-0.010268844
10/02/2015	202	-0.003481696
10/02/2015	203	-0.004143617
10/02/2015	206	-0.01029523
10/02/2015	207	-0.004558867
10/02/2015	208	-0.008486618
10/02/2015	211	-0.003604832
10/02/2015	212	-0.010020673
10/02/2015	213	-0.008781793
10/02/2015	214	-0.002827404
10/02/2015	215	-0.003891642
10/02/2015	218	-0.004893391
10/02/2015	221	-0.000868364
10/02/2015	222	-0.001466216
10/02/2015	223	-0.005759944
10/02/2015	224	-0.009667901
